testcase,1,2,3,4,5,10,20,best
0,,1.59256e-05,1.33945e-05,1.33945e-05,1.17304e-05,1.15489e-05,9.8895e-06,9.85082e-06
1,4.61261e-06,4.61261e-06,4.44312e-06,4.31045e-06,4.06911e-06,3.95652e-06,,3.47934e-06
2,,3.6447e-05,2.49053e-05,2.49053e-05,2.25497e-05,1.69284e-05,1.63601e-05,1.43994e-05
3,1.00661e-05,1.00661e-05,1.00661e-05,9.30883e-06,7.32294e-06,7.07926e-06,,7.06423e-06
4,,1.27107e-05,1.12788e-05,1.09123e-05,9.61107e-06,9.06267e-06,,7.66125e-06
5,,2.96828e-05,2.96828e-05,2.19184e-05,2.19184e-05,1.48429e-05,1.36494e-05,1.35659e-05
6,1.43266e-05,1.43266e-05,1.10675e-05,8.91442e-06,8.07132e-06,6.88314e-06,,6.77772e-06
7,,1.90384e-05,1.21942e-05,1.14927e-05,1.14654e-05,1.02814e-05,,1.01346e-05
8,,3.15392e-05,3.15392e-05,2.9558e-05,2.9558e-05,2.41637e-05,2.38438e-05,2.38438e-05
9,1.77801e-05,9.87958e-06,9.87958e-06,9.80141e-06,9.25089e-06,9.17008e-06,,9.17008e-06
10,2.37731e-05,2.37731e-05,1.57192e-05,1.57078e-05,1.55663e-05,1.53537e-05,,1.53537e-05
11,,7.02213e-05,7.02213e-05,5.98152e-05,5.98152e-05,3.87203e-05,3.13442e-05,2.98523e-05
12,2.20393e-05,2.03474e-05,1.97003e-05,1.86109e-05,1.607e-05,1.5682e-05,,1.50143e-05
