testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,2.5354666666666666e-05,2.5152e-05,2.5664e-05,2.544e-05,2.4928e-05,2.5696e-05,2.4885333333333334e-05,2.4416e-05,2.528e-05
1,8.331733333333334e-05,7.8336e-05,8.592e-05,8.145066666666666e-05,7.6928e-05,8.784e-05,7.908266666666667e-05,7.6928e-05,8.1984e-05
2,0.000100096,9.1296e-05,0.00010704,9.809066666666666e-05,9.0848e-05,0.000101792,8.978133333333332e-05,8.7968e-05,9.0848e-05
3,1.812266666666667e-05,1.792e-05,1.8432e-05,1.834666666666667e-05,1.776e-05,1.904e-05,1.7664e-05,1.744e-05,1.792e-05
4,0.000133984,0.000117344,0.00015712,0.00012250666666666665,0.000117504,0.000128544,0.00011188266666666668,0.000102944,0.000116672
5,2.1439999999999998e-05,1.9104e-05,2.3712e-05,2.1664e-05,1.9264e-05,2.4e-05,1.9231999999999998e-05,1.9104e-05,1.936e-05
6,0.00016770133333333332,0.000158112,0.000176672,0.00015523200000000002,0.000147168,0.000168672,0.00014581333333333333,0.000145568,0.000145952
7,3.0186666666666667e-05,2.4832e-05,3.5872e-05,3.034666666666667e-05,2.512e-05,3.6e-05,2.8544e-05,2.4832e-05,3.0944e-05
8,0.000447872,0.000400032,0.000481248,0.00040002133333333335,0.00039472,0.000404032,0.00036968533333333334,0.000352,0.000393248
9,0.00023515733333333332,0.00018304,0.000329824,0.000233344,0.000182144,0.000329312,0.000183936,0.000181152,0.000188512
10,5.201066666666667e-05,4.7392e-05,5.5104e-05,5.146666666666667e-05,4.6048e-05,5.44e-05,5.1328e-05,4.6048e-05,5.44e-05
